account_id,is_mule,total_inflow_amount,total_outflow_amount,log_total_inflow,log_total_outflow,num_unique_senders,num_unique_receivers,num_incoming_txn,num_outgoing_txn,txn_velocity_per_day,num_txn_below_threshold,proportion_txn_below_threshold,avg_txn_amount,std_txn_amount,zscore_outflow,net_flow,ratio_in_out
0,0,62431.88,82033.0,11.041847338659224,11.314889074455747,19,22,19,22,0.2619047619047619,18,0.9473684210526315,3728.7727272727275,1989.944833808649,0.629709041596423,-19601.120000000003,0.7610581107603037
1,0,46768.85,80166.27,10.752994043530697,11.29187060581905,17,25,17,25,0.2808988764044944,17,1.0,3206.6508000000003,1456.849876640006,0.5344507238571525,-33397.420000000006,0.5833981049635962
2,0,50852.16,90322.63,10.836697543105364,11.411154388449942,17,26,17,26,0.3170731707317073,17,1.0,3473.9473076923077,1404.1530168740378,1.0527248009622612,-39470.47,0.5630057495004297
3,0,66541.04,59010.13,11.105589207353189,10.985481349164598,21,17,21,17,0.21518987341772153,21,1.0,3471.184117647059,2006.4224437729297,-0.5451367399198772,7530.909999999996,1.1276206305595327
4,0,60056.689999999995,67373.54000000001,11.003060879259195,11.118022480729735,16,19,16,19,0.25,16,1.0,3545.9757894736845,1983.6613251687336,-0.11835602328501581,-7316.850000000013,0.8913987598098599
5,0,62482.22,54785.24,11.042653319677285,10.911194346515996,25,15,25,15,0.17647058823529413,25,1.0,3652.349333333333,1967.7587008518335,-0.76073080763908,7696.980000000003,1.140493680414652
6,0,82087.85,70166.25,11.315557476229689,11.158636956941098,27,22,27,22,0.3013698630136986,27,1.0,3189.375,1369.9163011232963,0.024154600390415497,11921.600000000006,1.169905046942084
7,0,44812.47,50924.53,10.710264042853876,10.838119648502802,13,15,13,15,0.16666666666666666,13,1.0,3394.9686666666666,2069.5881913002704,-0.9577409483017252,-6112.059999999998,0.8799780773627169
8,0,73788.04,66497.12,11.208965490074844,11.104928955567631,21,19,21,20,0.22727272727272727,21,1.0,3324.8559999999998,1719.7771296041456,-0.1630793066913214,7290.919999999998,1.1096426431701103
9,0,80970.51,78470.32,11.301852643388575,11.27048848669534,23,23,23,23,0.2839506172839506,23,1.0,3411.753043478261,1591.5935914400523,0.4479072258848074,2500.189999999988,1.031861600666341
10,0,69513.17,77951.95,11.14928589566327,11.263860718542118,20,20,20,20,0.22988505747126436,20,1.0,3897.5975,2346.7694475796766,0.42145505863699617,-8438.779999999999,0.8917438242404455
11,0,51652.77,62288.11,10.852318463171562,11.03954189013841,17,20,17,20,0.22988505747126436,17,1.0,3114.4055,1842.8599818230903,-0.3778630257871559,-10635.340000000004,0.8292556958302314
12,0,73554.45,95593.99,11.205794822536578,11.467875691808517,19,24,20,24,0.3287671232876712,20,1.0,3983.0829166666667,1701.268560333165,1.3217197203121842,-22039.540000000008,0.7694463846524242
13,0,83630.4,79769.17,11.334174326639614,11.286904904029894,25,25,25,25,0.2840909090909091,24,0.96,3190.7668,1462.3212601936464,0.5141869053219252,3861.229999999996,1.048405041697187
14,0,86086.91,54849.2,11.363124262437807,10.912361112004842,23,15,23,15,0.17045454545454544,23,1.0,3656.6133333333332,1649.5855754819436,-0.7574669601610817,31237.710000000006,1.5695198836081476
15,0,85129.61,63934.15,11.351941944364,11.065624567375307,21,19,21,19,0.22093023255813954,21,1.0,3364.955263157895,2275.673762159653,-0.29386641067326735,21195.46,1.3315201656704594
16,0,70004.96,76889.06,11.156335660264192,11.250131888361466,22,23,22,23,0.26136363636363635,22,1.0,3343.0026086956523,1924.0795323909074,0.3672163024473526,-6884.099999999991,0.9104671067639533
17,0,111799.77,54846.03,11.624473726978167,10.912303316561859,26,16,27,16,0.20512820512820512,27,1.0,3427.876875,2054.389549138523,-0.7576287237086935,56953.740000000005,2.0384295818676392
18,0,89225.66,65048.63,11.39893515283646,11.082905795992115,22,21,22,21,0.26582278481012656,22,1.0,3097.5538095238094,1230.6995009159475,-0.23699504204788394,24177.030000000006,1.371676236686307
